timepoint,colony_id,frag_id,treatment,colormorph,protein_density
07/07/17,O11,101,Shallow,Orange,290.3612
07/07/17,O11,101,Shallow,Orange,301.908365
07/07/17,O11,101.1,Shade,Orange,237.470656
07/07/17,O11,101.1,Shade,Orange,202.331048
07/07/17,O11,101.1,Shade,Orange,230.768772
07/07/17,O12,194,Control,Orange,616.53548
07/07/17,O12,194,Control,Orange,650.281665
07/07/17,O12,194,Control,Orange,553.35687
07/07/17,O12,162,Deep,Orange,392.75918
07/07/17,O12,162,Deep,Orange,406.284615
07/07/17,O12,162,Deep,Orange,341.308605
07/07/17,O12,164,Shallow,Orange,442.592095
07/07/17,O12,164,Shallow,Orange,457.330775
07/07/17,O12,164,Shallow,Orange,445.018585
07/07/17,O12,215,Shade,Orange,668.705015
07/07/17,O12,215,Shade,Orange,478.94451
07/07/17,O12,215,Shade,Orange,472.74348
07/07/17,O13,14,Control,Orange,323.372507
07/07/17,O13,14,Control,Orange,321.063074
07/07/17,O13,14,Control,Orange,331.342315
07/07/17,O13,196,Deep,Orange,285.198938
07/07/17,O13,196,Deep,Orange,282.708373
07/07/17,O13,196,Deep,Orange,301.047988
07/07/17,O13,154,Shallow,Orange,411.085678
07/07/17,O13,154,Shallow,Orange,455.417735
07/07/17,O13,154,Shallow,Orange,431.689443
07/07/17,O13,202,Shade,Orange,258.617817
07/07/17,O13,202,Shade,Orange,241.093296
07/07/17,O13,202,Shade,Orange,238.240467
07/28/17,B1,39,Control,Red,173.848041
07/28/17,B1,39,Control,Red,160.217858
07/28/17,B1,39,Control,Red,189.787657
07/28/17,B1,23,Deep,Red,207.266895
07/28/17,B1,23,Deep,Red,183.900867
07/28/17,B1,23,Deep,Red,216.368778
07/28/17,B1,174,Shallow,Red,213.198968
07/28/17,B1,174,Shallow,Red,205.274443
07/28/17,B1,174,Shallow,Red,197.214069
07/28/17,B1,144,Shade,Red,177.425398
07/28/17,B1,144,Shade,Red,171.538608
07/28/17,B1,144,Shade,Red,156.549935
07/28/17,B2,165,Control,Red,89.531095
07/28/17,B2,165,Control,Red,88.217888
07/28/17,B2,165,Control,Red,118.014102
07/28/17,B2,456,Deep,Red,194.044259
07/28/17,B2,456,Deep,Red,181.863132
07/28/17,B2,456,Deep,Red,209.531045
07/28/17,B2,170,Shallow,Red,247.840463
07/28/17,B2,170,Shallow,Red,258.708383
07/28/17,B2,170,Shallow,Red,256.85178
07/28/17,B2,183,Shade,Red,191.780109
07/28/17,B2,183,Shade,Red,184.942376
07/28/17,B2,183,Shade,Red,170.089552
07/28/17,B3,182,Control,Red,274.088887
07/28/17,B3,182,Control,Red,317.727196
07/28/17,B3,182,Control,Red,328.467445
07/28/17,B3,43,Deep,Red,411.486667
07/28/17,B3,43,Deep,Red,396.779299
07/28/17,B3,43,Deep,Red,400.262623
07/28/17,B3,26,Shallow,Red,249.415342
07/28/17,B3,26,Shallow,Red,254.156533
07/28/17,B3,26,Shallow,Red,269.92825
07/28/17,B3,7,Shade,Red,213.711271
07/28/17,B3,7,Shade,Red,215.646451
07/28/17,B3,7,Shade,Red,200.068252
07/28/17,B4,1,Control,Red,139.013323
07/28/17,B4,1,Control,Red,172.491937
07/28/17,B4,1,Control,Red,145.786453
07/28/17,B4,114,Deep,Red,173.749804
07/28/17,B4,114,Deep,Red,161.074375
07/28/17,B4,114,Deep,Red,177.329887
07/28/17,B4,19,Shallow,Red,149.753572
07/28/17,B4,19,Shallow,Red,157.591051
07/28/17,B4,19,Shallow,Red,153.333655
07/28/17,B4,2,Shade,Red,216.807559
07/28/17,B4,2,Shade,Red,195.230302
07/28/17,B4,2,Shade,Red,171.911383
07/28/17,B5,8,Control,Red,270.702322
07/28/17,B5,8,Control,Red,238.675093
07/28/17,B5,8,Control,Red,243.222766
07/28/17,B5,176,Deep,Red,99.922687
07/28/17,B5,176,Deep,Red,118.113379
07/28/17,B5,176,Deep,Red,89.666233
07/28/17,B5,198,Shallow,Red,89.666233
07/28/17,B5,198,Shallow,Red,105.728227
07/28/17,B5,198,Shallow,Red,107.276371
07/28/17,B5,158,Shade,Red,226.3867
07/28/17,B5,158,Shade,Red,232.772794
07/28/17,B5,158,Shade,Red,224.741797
07/28/17,B6,13,Control,Red,203.372557
07/28/17,B6,13,Control,Red,190.240487
07/28/17,B6,13,Control,Red,205.22916
07/28/17,B6,200,Deep,Red,187.251809
07/28/17,B6,200,Deep,Red,231.764998
07/28/17,B6,200,Deep,Red,236.429147
07/28/17,B6,166,Shallow,Red,223.79519
07/28/17,B6,166,Shallow,Red,214.829156
07/28/17,B6,166,Shallow,Red,220.489531
07/28/17,B6,65,Shade,Red,207.085763
07/28/17,B6,65,Shade,Red,171.71974
07/28/17,B6,65,Shade,Red,208.263121
07/28/17,O7,57,Control,Orange,173.440494
07/28/17,O7,57,Control,Orange,129.380135
07/28/17,O7,57,Control,Orange,160.806537
07/28/17,O7,103,Deep,Orange,169.863137
07/28/17,O7,103,Deep,Orange,188.338601
07/28/17,O7,103,Deep,Orange,180.595208
07/28/17,O7,20,Shallow,Orange,130.829191
07/28/17,O7,20,Shallow,Orange,132.187681
07/28/17,O7,20,Shallow,Orange,124.987684
07/28/17,O7,290,Shade,Orange,190.195204
07/28/17,O7,290,Shade,Orange,164.836724
07/28/17,O7,290,Shade,Orange,157.591444
07/28/17,O8,680,Control,Orange,290.141495
07/28/17,O8,680,Control,Orange,289.232785
07/28/17,O8,680,Control,Orange,304.47433
07/28/17,O8,10,Deep,Orange,270.85206
07/28/17,O8,10,Deep,Orange,238.427635
07/28/17,O8,10,Deep,Orange,292.33066
07/28/17,O8,163,Shallow,Orange,243.0951
07/28/17,O8,163,Shallow,Orange,230.414465
07/28/17,O8,163,Shallow,Orange,319.220215
07/28/17,O8,58,Shade,Orange,193.28127
07/28/17,O8,58,Shade,Orange,228.2253
07/28/17,O8,58,Shade,Orange,203.19447
07/28/17,O9,16,Control,Orange,192.424291
07/28/17,O9,16,Control,Orange,171.23407
07/28/17,O9,16,Control,Orange,159.913267
07/28/17,O9,95,Deep,Orange,205.583515
07/28/17,O9,95,Deep,Orange,194.552989
